Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-02-10 00:00:00-05:00,2.0605832158432125,2.0896055146579053,2.031560917028519,2.0768356323242188,271200,0.0,0.0
2004-02-11 00:00:00-05:00,2.0315611807123823,2.0814795765803593,2.0315611807123823,2.0536181926727295,132000,0.0,0.0
2004-02-12 00:00:00-05:00,2.0373654197436233,2.086122893756727,2.0315610481750133,2.074514150619507,270400,0.0,0.0
2004-02-13 00:00:00-05:00,2.074514437997391,2.0861231827427447,2.0431702957706652,2.0826406478881836,120000,0.0,0.0
2004-02-17 00:00:00-05:00,2.0431699752807617,2.080318484053081,2.0431699752807617,2.0431699752807617,81600,0.0,0.0
2004-02-18 00:00:00-05:00,2.0779969692230225,2.079157887980053,2.0489746645650957,2.0779969692230225,88000,0.0,0.0
2004-02-19 00:00:00-05:00,2.0779968297650555,2.0779968297650555,2.042009236402748,2.0443310737609863,636000,0.0,0.0
2004-02-20 00:00:00-05:00,2.0199523921538947,2.0896059687293977,2.0199523921538947,2.054779291152954,174400,0.0,0.0
2004-02-23 00:00:00-05:00,2.0315610776922672,2.0663877504551005,2.0083431482353213,2.032721996307373,848800,0.0,0.0
2004-02-24 00:00:00-05:00,2.046652317047119,2.046652317047119,2.0141474856405703,2.046652317047119,112000,0.0,0.0
2004-02-25 00:00:00-05:00,2.0373655622639437,2.3252669735118303,2.0373655622639437,2.304370880126953,397600,0.0,0.0
2004-02-26 00:00:00-05:00,2.3101747703269013,2.3101747703269013,2.149971790156656,2.2126598358154297,333600,0.0,0.0
2004-02-27 00:00:00-05:00,2.205694686329403,2.2556130751844683,2.1580981344961,2.182476758956909,863200,0.0,0.0
2004-03-01 00:00:00-05:00,2.1592591513300268,2.219625588109276,2.134880304336548,2.134880304336548,327200,0.0,0.0
2004-03-02 00:00:00-05:00,2.199890471813268,2.2056948433583363,2.08380126953125,2.08380126953125,242400,0.0,0.0
2004-03-03 00:00:00-05:00,2.081479690880655,2.1476505089727382,2.077996934667479,2.1197891235351562,296800,0.0,0.0
2004-03-04 00:00:00-05:00,2.1476505389626768,2.1476505389626768,2.1186282343821,2.1464896202087402,132800,0.0,0.0
2004-03-05 00:00:00-05:00,2.13604117688398,2.1476501408487576,2.1313977241516113,2.1313977241516113,438400,0.0,0.0
2004-03-08 00:00:00-05:00,2.141845959138596,2.141845959138596,2.1012146923771486,2.1232717037200928,132000,0.0,0.0
2004-03-09 00:00:00-05:00,2.136041289942387,2.136041289942387,2.1163061165844743,2.124432325363159,612800,0.0,0.0
2004-03-10 00:00:00-05:00,2.112823582206514,2.124432325363159,2.0663877238896022,2.124432325363159,27200,0.0,0.0
2004-03-11 00:00:00-05:00,2.1290759997638835,2.1302369183640644,2.0849619786473337,2.124432325363159,146400,0.0,0.0
2004-03-12 00:00:00-05:00,2.130237288811955,2.130237288811955,2.0896060164301775,2.1174674034118652,37600,0.0,0.0
2004-03-15 00:00:00-05:00,2.0919273839171444,2.117466927555222,2.031560948311611,2.039687156677246,295200,0.0,0.0
2004-03-16 00:00:00-05:00,2.0721924913663763,2.089605828990107,2.0025389194488525,2.0025389194488525,416800,0.0,0.0
2004-03-17 00:00:00-05:00,2.0060218291400465,2.0791579413286536,2.004860910353228,2.0362050533294678,495200,0.0,0.0
2004-03-18 00:00:00-05:00,2.002539161180328,2.0269177925118353,1.9816430649403909,2.0071828365325928,401600,0.0,0.0
2004-03-19 00:00:00-05:00,1.9851252603100218,1.9851252603100218,1.9502983692805964,1.9677119255065918,103200,0.0,0.0
2004-03-22 00:00:00-05:00,1.9479768734850718,1.9572640007129025,1.9038628530859412,1.9514594078063965,887200,0.0,0.0
2004-03-23 00:00:00-05:00,1.956102947250704,1.9851252455142974,1.9386896125770607,1.9700335264205933,876800,0.0,0.0
2004-03-24 00:00:00-05:00,1.921276048430974,2.019951906398266,1.921276048430974,1.9955732822418213,708800,0.0,0.0
2004-03-25 00:00:00-05:00,2.0257569099127615,2.0257569099127615,1.958425173418413,2.001378059387207,228000,0.0,0.0
2004-03-26 00:00:00-05:00,1.9862864005346579,2.015308702254112,1.9119891575654946,1.9177937507629395,2520000,0.0,0.0
2004-03-29 00:00:00-05:00,1.903862769869145,1.9363678244570641,1.8899321903475863,1.9166326522827148,526400,0.0,0.0
2004-03-30 00:00:00-05:00,1.8899325455459162,1.9967346347816335,1.880645416978576,1.9735167026519775,1917600,0.0,0.0
2004-03-31 00:00:00-05:00,1.9735163007463727,2.0315608978271484,1.950298373345036,2.0315608978271484,2280800,0.0,0.0
2004-04-01 00:00:00-05:00,2.0315610109337676,2.0861228555152893,2.0048605479314854,2.0431699752807617,642400,0.0,0.0
2004-04-02 00:00:00-05:00,2.068709801182989,2.0779969296397125,2.051296463004458,2.0605835914611816,162400,0.0,0.0
